지점,지점명,일시,기온(°C),지면온도(°C)
232,천안,2020-01-01 01:00,-8.7,-2.9
232,천안,2020-01-01 02:00,-7.3,-2.4
232,천안,2020-01-01 03:00,-6.7,-2.2
232,천안,2020-01-01 04:00,-6.2,-2
232,천안,2020-01-01 05:00,-5.9,-1.9
232,천안,2020-01-01 06:00,-5.6,-2
232,천안,2020-01-01 07:00,-5.4,-1.9
232,천안,2020-01-01 08:00,-5.2,-1.8
232,천안,2020-01-01 09:00,-5.1,-1.4
232,천안,2020-01-01 10:00,-4.8,-.7
232,천안,2020-01-01 11:00,-3.5,0
232,천안,2020-01-01 12:00,-2.1,2
232,천안,2020-01-01 13:00,-.5,1.6
232,천안,2020-01-01 14:00,.1,1.5
232,천안,2020-01-01 15:00,.8,1
232,천안,2020-01-01 16:00,1.2,.7
232,천안,2020-01-01 17:00,.9,.1
232,천안,2020-01-01 18:00,.6,.1
232,천안,2020-01-01 19:00,.5,.1
232,천안,2020-01-01 20:00,.2,.1
232,천안,2020-01-01 21:00,-.3,0
232,천안,2020-01-01 22:00,-.5,-.1
232,천안,2020-01-01 23:00,-.6,-.1
232,천안,2020-01-02 00:00,-.7,-.1
232,천안,2020-01-02 01:00,-.8,-.3
232,천안,2020-01-02 02:00,-1,-.3
232,천안,2020-01-02 03:00,-1.1,-.3
232,천안,2020-01-02 04:00,-1,-.3
232,천안,2020-01-02 05:00,-.9,-.3
232,천안,2020-01-02 06:00,-.8,-.3
232,천안,2020-01-02 07:00,-.8,-.3
232,천안,2020-01-02 08:00,-.7,-.3
232,천안,2020-01-02 09:00,-.4,0
232,천안,2020-01-02 10:00,.3,.3
232,천안,2020-01-02 11:00,.8,.5
232,천안,2020-01-02 12:00,1.2,.9
232,천안,2020-01-02 13:00,1.7,1.4
232,천안,2020-01-02 14:00,2.1,1.1
232,천안,2020-01-02 15:00,2.5,.8
232,천안,2020-01-02 16:00,2.4,.4
232,천안,2020-01-02 17:00,2.3,.3
232,천안,2020-01-02 18:00,2,.2
232,천안,2020-01-02 19:00,1.6,.1
232,천안,2020-01-02 20:00,.3,.1
232,천안,2020-01-02 21:00,-.3,0
232,천안,2020-01-02 22:00,-.1,.1
232,천안,2020-01-02 23:00,-.4,-.1
232,천안,2020-01-03 00:00,-.3,-.1
232,천안,2020-01-03 01:00,-.5,-.1
232,천안,2020-01-03 02:00,-.6,-.1
232,천안,2020-01-03 03:00,-.4,-.1
232,천안,2020-01-03 04:00,-.4,-.6
232,천안,2020-01-03 05:00,-.6,-.5
232,천안,2020-01-03 06:00,-1.4,-.9
232,천안,2020-01-03 07:00,-2.5,-1.2
232,천안,2020-01-03 08:00,-2.7,-1.4
232,천안,2020-01-03 09:00,-2.4,-.3
232,천안,2020-01-03 10:00,-.5,.3
232,천안,2020-01-03 11:00,1.9,1.8
232,천안,2020-01-03 12:00,3.4,2.7
232,천안,2020-01-03 13:00,3.7,2.1
232,천안,2020-01-03 14:00,4.7,4.1
232,천안,2020-01-03 15:00,5.1,3.8
232,천안,2020-01-03 16:00,5.1,3.2
232,천안,2020-01-03 17:00,3.8,.6
232,천안,2020-01-03 18:00,1.6,.1
232,천안,2020-01-03 19:00,-.2,-.5
232,천안,2020-01-03 20:00,-1.9,-1.1
232,천안,2020-01-03 21:00,-2.2,-1.5
232,천안,2020-01-03 22:00,-2.9,-1.8
232,천안,2020-01-03 23:00,-3.5,-2
232,천안,2020-01-04 00:00,-3.9,-2.3
232,천안,2020-01-04 01:00,-4.7,-2.3
232,천안,2020-01-04 02:00,-4.9,-2.5
232,천안,2020-01-04 03:00,-5.7,-2.7
232,천안,2020-01-04 04:00,-5.8,-2.8
232,천안,2020-01-04 05:00,-6.2,-3
232,천안,2020-01-04 06:00,-6.1,-3.2
232,천안,2020-01-04 07:00,-5.5,-1.8
232,천안,2020-01-04 08:00,-4.6,-1.4
232,천안,2020-01-04 09:00,-3.6,-.4
232,천안,2020-01-04 10:00,-2.2,.2
232,천안,2020-01-04 11:00,-.2,.8
232,천안,2020-01-04 12:00,2.3,1.9
232,천안,2020-01-04 13:00,5,3
232,천안,2020-01-04 14:00,6.8,3.7
232,천안,2020-01-04 15:00,7.1,3.8
232,천안,2020-01-04 16:00,6.9,2.8
232,천안,2020-01-04 17:00,5.7,.9
232,천안,2020-01-04 18:00,3.7,.2
232,천안,2020-01-04 19:00,2.6,-.1
232,천안,2020-01-04 20:00,1.2,-.6
232,천안,2020-01-04 21:00,-.2,-1
