TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
a_a014262,A03,a014262,1;11;2;22;,2022-10-29,2022-10-30,자가용,,1;11;2;22;,2;1;22
a_a006728,A03,a006728,21;24;5;22;26;27;,2022-10-10,2022-10-11,자가용,,21;24;5;22;26;27;,6;1;22
a_a015745,A02,a015745,1;2;6;,2022-10-31,2022-11-03,대중교통 등,,1;2;6;,13;3;28
a_a010544,A03,a010544,21;22;24;26;,2022-11-01,2022-11-02,자가용,,21;22;24;26;,1;22;26
a_a012058,A03,a012058,1;4;10;12;21;22;26;,2022-11-05,2022-11-06,대중교통 등,수도권 외 거주 39세 이하 커플,1;4;10;12;21;22;26;,1;21;22
a_a001826,A03,a001826,22;24;8;,2022-09-17,2022-09-19,자가용,,22;24;8;,8;22;24
a_a002687,A03,a002687,21;22;23;24;25;,2022-10-02,2022-10-04,자가용,,21;22;23;24;25;,4;26;23
a_a001405,A03,a001405,1;2;22;26;9;,2022-08-27,2022-08-29,대중교통 등,수도권 외 거주 39세 이하 커플,1;2;22;26;9;,9;2;1
a_a008173,A01,a008173,1;,2022-10-17,2022-10-19,대중교통 등,,1;,1;6;2
a_a005503,A01,a005503,22;23;26;27;28;,2022-10-08,2022-10-10,대중교통 등,,22;23;26;27;28;,1;22;24
a_a014026,A03,a014026,4;2;6;22;11;26;2;,2022-10-30,2022-10-31,대중교통 등,,4;2;6;22;11;26;2;,2;6;22
a_a006743,A01,a006743,4;6;9;,2022-10-22,2022-10-23,자가용,,4;6;9;,4;6;9
a_a001240,A01,a001240,1;10;21;22;23;,2022-08-26,2022-08-29,자가용,,1;10;21;22;23;,23;22;21
a_a018188,A01,a018188,1;22;4;,2022-11-12,2022-11-13,,수도권 거주 39세 이하 커플,1;22;4;,4;1;22
a_a001129,A01,a001129,1;22;3;4;7;,2022-08-28,2022-08-30,대중교통 등,수도권 거주 39세 이하 커플,1;22;3;4;7;,22;23;4
a_a007389,A03,a007389,28;,2022-10-23,2022-10-24,,,28;,28;5;21
a_a000024,A03,a000024,1;10;2;21;4;,2022-08-05,2022-08-07,대중교통 등,수도권 거주 39세 이하 부부,1;,10;21;22
a_a017969,A03,a017969,22;3;,2022-11-12,2022-11-13,,,22;3;,1;2;3
a_a012188,A03,a012188,22;2;1;3;,2022-11-03,2022-11-04,대중교통 등,,22;2;1;3;,1;3;13
a_a006668,A03,a006668,1;11;2;21;4;,2022-10-08,2022-10-09,자가용,수도권 거주 39세 이하 자녀 동반,1;11;2;21;4;,11;21;2
