TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
b015583,41,여,20,6,1,1,5,3,,3,7,2,2,50,50110,26,26500,47,47130,1,1,1,4,7,1,1,7,경기도,충남,2인 여행(가족 외),2022-10-29~2022-10-30,1,,,1
a001105,30,남,30,6,1,1,2,3,,4,6,3,1,41,41460,11,11560,26,26710,6,2,2,2,4,6,6,5,대전광역시,경기,3인 이상 여행(가족 외),2022-09-03~2022-09-04,3,,,7
a001673,41,여,30,4,1,2,3,,1,5,8,2,3,50,50130,28,28110,26,26710,4,1,2,1,2,5,2,7,경기도,서울,자녀 동반 여행,2022-09-18~2022-09-19,10,7,1,2
a017690,41,여,30,6,1,1,3,3,,5,7,3,6,42,42830,42,42210,50,50130,2,2,3,4,3,2,4,5,경기도,서울,3인 이상 여행(가족 외),2022-11-12~2022-11-12,3,1,2,3
c006666,28,여,30,6,1,1,3,13,,3,7,2,1,42,42210,41,41820,41,41630,3,6,2,4,6,5,5,5,인천광역시,경기,나홀로 여행,2022-10-18~2022-10-18,1,7,2,0
a007192,11,남,20,7,1,1,4,2,,7,12,2,1,41,41630,50,50130,42,42830,4,2,2,1,4,4,5,4,서울특별시,경기,나홀로 여행,2022-10-13~2022-10-13,6,8,2,0
a006685,41,여,30,5,1,2,2,3,,4,7,3,6,41,41650,28,28720,42,42750,1,1,7,5,1,1,5,2,경기도,인천,2인 가족 여행,2022-10-09~2022-10-09,10,,,1
a014274,11,여,20,6,1,1,4,2,,5,11,3,5,50,50110,47,47130,42,42130,2,1,1,5,3,3,2,6,서울특별시,경기,나홀로 여행,2022-11-01~2022-11-03,4,7,1,0
a002302,11,여,60,6,1,2,2,2,,4,7,2,5,42,42820,28,28110,41,41820,3,4,5,2,2,5,6,6,서울특별시,인천,나홀로 여행,2022-09-17~2022-09-17,8,1,2,0
a004118,50,여,30,6,1,1,2,3,,5,8,3,6,26,26350,11,11680,46,46130,4,3,1,4,6,4,7,4,제주특별자치도,인천,나홀로 여행,2022-10-01~2022-10-03,1,7,2,0
a001158,41,남,30,6,1,1,1,3,,4,,2,2,11,11680,48,48120,50,50110,1,3,2,3,2,2,3,2,경기도,경기,나홀로 여행,2022-09-01~2022-09-03,8,1,6,0
a014377,28,여,40,6,1,1,1,3,,4,,3,2,50,50130,26,26350,48,48220,1,1,3,2,4,3,6,4,인천광역시,서울,나홀로 여행,2022-10-29~2022-10-29,2,1,4,0
a003073,41,여,30,6,1,2,3,3,,6,12,2,1,43,43130,28,28710,42,42210,3,3,6,4,6,6,6,2,경기도,경기,자녀 동반 여행,2022-09-25~2022-09-25,1,8,3,2
a005594,28,남,30,6,1,2,4,3,,7,7,2,2,11,11500,28,28110,41,41570,2,7,2,6,6,6,6,2,인천광역시,경기,자녀 동반 여행,2022-10-08~2022-10-08,3,1,2,3
a007179,41,여,40,5,1,2,1,13,,3,,3,5,42,42760,41,41460,41,41830,1,4,3,5,1,3,2,3,경기도,인천,3인 이상 여행(가족 외),2022-10-15~2022-10-15,3,8,1,4
a006286,41,남,40,6,1,2,3,2,,9,9,2,1,46,46130,50,50130,42,42830,2,1,2,1,1,4,1,7,경기도,인천,자녀 동반 여행,2022-10-08~2022-10-08,8,7,3,2
a002832,41,남,50,5,1,4,2,4,,5,5,3,5,42,42150,41,41610,42,42110,1,4,4,1,6,2,1,7,경기도,경기,2인 여행(가족 외),2022-09-25~2022-09-25,3,2,10,1
a001702,41,여,30,6,1,1,5,3,,4,5,3,4,42,42150,42,42230,50,50130,2,2,2,3,4,2,3,7,경기도,경기,부모 동반 여행,2022-09-09~2022-09-10,2,1,3,4
a005419,11,여,30,6,1,2,3,2,,2,7,3,4,30,30200,44,44130,42,42150,3,6,2,6,6,6,6,4,서울특별시,경기,자녀 동반 여행,2022-10-29~2022-10-29,1,2,3,2
a008026,41,여,20,6,1,1,4,13,,1,5,2,1,42,42150,42,42110,50,50130,2,1,2,3,4,4,5,4,경기도,경기,2인 가족 여행,2022-10-16~2022-10-16,3,7,1,1
a003335,41,여,30,6,1,1,1,3,,4,,2,1,50,50110,50,50130,11,11560,4,2,2,2,4,5,2,4,경기도,서울,2인 여행(가족 외),2022-10-09~2022-10-10,3,2,9,1
a018046,11,여,20,6,1,1,4,2,,1,6,2,1,41,41170,41,41210,28,28185,4,7,6,6,4,5,2,2,서울특별시,경기,나홀로 여행,2022-11-10~2022-11-10,1,2,4,0
a007399,41,여,20,6,1,1,4,4,,4,10,3,6,50,50110,50,50130,26,26500,6,1,1,3,4,6,6,6,경기도,경기,2인 여행(가족 외),2022-10-27~2022-10-27,1,3,2,1
a007033,11,남,20,4,1,1,3,12,,2,8,1,1,41,41450,11,11710,11,11170,7,7,1,1,3,1,7,7,서울특별시,경기,나홀로 여행,2022-10-15~2022-10-15,1,2,7,0
a007579,11,여,50,6,1,2,3,3,,2,11,3,4,50,50130,41,41830,42,42110,1,7,1,1,4,4,1,2,서울특별시,경기,2인 가족 여행,2022-10-15~2022-10-15,2,6,3,1
a008021,11,여,40,6,1,2,4,3,,6,12,3,4,42,42820,44,44825,41,41650,2,1,5,1,3,2,2,7,서울특별시,경기,3인 이상 여행(가족 외),2022-10-22~2022-10-22,3,,,7
a002222,30,여,60,6,1,2,2,4,,1,3,3,1,46,46110,50,50130,11,11110,1,4,3,4,4,6,2,6,대전광역시,서울,3인 이상 여행(가족 외),2022-09-22~2022-09-23,3,1,6,2
a005485,41,남,20,6,1,1,1,2,,5,,2,3,41,41280,50,50110,31,31710,2,2,2,5,4,3,6,2,경기도,경기,2인 여행(가족 외),2022-10-03~2022-10-03,6,1,4,1
a007957,28,남,30,6,1,1,1,3,,5,,2,2,50,50110,26,26350,42,42110,2,3,2,6,2,3,6,5,인천광역시,서울,나홀로 여행,2022-10-16~2022-10-16,1,2,5,0
a001548,28,남,30,6,1,1,1,3,,4,,2,1,46,46130,31,31140,50,50130,2,2,3,4,3,4,2,1,인천광역시,서울,나홀로 여행,2022-08-26~2022-08-28,1,2,6,1
a011069,41,여,20,6,1,1,3,3,,5,12,3,3,50,50130,42,42210,26,26350,3,3,4,2,2,5,2,4,경기도,서울,나홀로 여행,2022-10-22~2022-10-23,7,1,2,0
a007329,11,남,20,6,1,1,1,2,,5,,2,1,41,41110,29,29140,50,50130,6,5,2,5,3,2,6,2,서울특별시,경기,나홀로 여행,2022-10-29~2022-10-29,2,1,7,0
a012452,11,여,30,6,1,1,4,3,,5,8,2,2,41,41650,50,50130,44,44270,1,4,6,4,6,2,6,2,서울특별시,경기,2인 여행(가족 외),2022-10-29~2022-10-30,1,6,3,1
c002035,41,남,20,6,1,1,4,10,,3,10,3,3,50,50130,26,26110,11,11110,2,2,2,5,6,2,2,7,경기도,서울,나홀로 여행,2022-09-14~2022-09-14,2,1,7,0
a018147,11,여,60,4,1,4,3,3,,3,7,2,2,42,42210,50,50130,46,46150,1,4,1,2,3,1,4,6,서울특별시,경기,자녀 동반 여행,2022-11-12~2022-11-12,1,6,7,2
a004399,41,남,40,6,1,2,4,2,,5,8,3,3,44,44760,42,42210,41,41110,2,2,1,6,6,6,7,7,경기도,경기,자녀 동반 여행,2022-10-08~2022-10-10,3,1,2,3
a001734,41,여,20,6,1,1,1,3,,4,,3,4,26,26350,42,42150,41,41820,2,2,2,5,5,2,6,4,경기도,인천,2인 여행(가족 외),2022-09-09~2022-09-10,2,1,7,1
a006816,11,여,30,6,1,1,2,3,,3,4,3,5,42,42210,43,43130,48,48270,1,1,1,5,5,4,2,6,서울특별시,경기,2인 여행(가족 외),2022-10-15~2022-10-15,7,8,2,0
a015175,50,남,50,2,1,2,4,4,,3,6,3,6,11,11350,42,42150,26,26710,4,5,6,5,4,5,4,6,제주특별자치도,서울,나홀로 여행,2022-10-29~2022-10-30,7,1,6,0
a003712,28,남,40,7,1,2,5,2,,5,8,2,1,42,42150,41,41280,43,43130,1,1,1,4,4,1,2,4,인천광역시,경기,자녀 동반 여행,2022-10-29~2022-10-30,3,1,2,4
a006014,11,여,60,6,1,1,4,4,,4,4,2,1,41,41550,45,45140,44,44130,2,6,1,3,4,2,6,7,서울특별시,경기,3대 동반 여행(친척 포함),2022-10-08~2022-10-08,7,5,1,6
a000550,26,남,40,8,1,2,2,2,,6,10,4,1,50,50130,26,26230,11,11410,4,4,6,2,4,6,3,2,부산광역시,서울,2인 가족 여행,2022-08-20~2022-08-22,9,3,7,1
a002197,44,여,30,7,2,2,2,2,,5,7,2,1,11,11680,30,30170,26,26350,7,1,1,1,1,7,1,1,충청남도,서울,나홀로 여행,2022-09-19~2022-09-20,4,7,8,0
a018130,11,여,30,6,1,1,1,4,,3,,2,1,50,50130,50,50110,26,26230,3,3,3,4,4,3,4,4,서울특별시,경기,2인 여행(가족 외),2022-11-13~2022-11-13,5,1,7,1
a003028,41,여,30,6,1,4,2,3,,4,4,2,1,41,41820,44,44180,50,50130,4,3,3,4,3,4,4,4,경기도,경기,자녀 동반 여행,2022-10-03~2022-10-03,1,5,7,1
a007244,11,여,30,6,1,1,1,3,,2,,3,2,46,46730,46,46110,48,48840,4,1,1,5,1,1,7,1,서울특별시,경기,나홀로 여행,2022-10-16~2022-10-16,2,1,4,0
a002019,41,여,20,6,2,1,4,,2,1,5,2,1,11,11170,41,41280,41,41110,4,3,4,2,3,4,3,5,경기도,서울,나홀로 여행,2022-09-25~2022-09-26,2,7,6,0
a001859,11,여,30,6,1,2,4,3,,3,8,3,5,50,50110,42,42210,45,45710,4,3,2,2,4,3,5,4,서울특별시,경기,자녀 동반 여행,2022-09-08~2022-09-10,1,7,8,3
a018087,41,여,30,5,1,1,3,3,,4,7,3,4,50,50130,45,45110,42,42110,1,2,2,4,3,3,3,4,경기도,서울,2인 여행(가족 외),2022-11-12~2022-11-12,2,7,6,0
a004565,47,남,20,6,1,1,3,13,,1,7,2,3,27,27260,26,26500,47,47130,4,1,2,4,2,4,7,2,경상북도,서울,나홀로 여행,2022-10-10~2022-10-11,1,7,2,0
a002077,30,여,20,6,1,1,4,4,,2,2,3,2,11,11680,42,42110,26,26350,4,4,4,4,4,4,4,4,대전광역시,서울,2인 여행(가족 외),2022-09-22~2022-09-22,6,3,2,1
a017910,11,여,40,4,1,2,4,11,,1,10,2,2,42,42150,50,50130,41,41360,1,1,1,4,1,1,7,4,서울특별시,경기,3인 이상 여행(가족 외),2022-11-12~2022-11-12,10,,,2
a001817,28,여,20,5,5,1,1,3,,4,,3,5,28,28110,50,50110,48,48220,1,2,1,5,4,2,3,6,인천광역시,서울,2인 여행(가족 외),2022-09-14~2022-09-15,3,1,7,1
a006822,11,여,20,6,1,1,1,2,,6,,3,2,42,42210,50,50130,47,47170,3,3,1,3,6,2,7,6,서울특별시,경기,나홀로 여행,2022-10-15~2022-10-15,1,7,2,0
a003223,11,남,20,6,1,1,1,2,,5,,3,4,41,41110,43,43760,46,46710,1,1,1,1,1,5,3,1,서울특별시,경기,나홀로 여행,2022-10-01~2022-10-02,2,6,8,0
a001383,41,여,30,6,1,2,2,,1,1,5,2,1,42,42210,42,42150,26,26350,2,3,3,4,3,3,4,7,서울특별시,경기,나홀로 여행,2022-08-27~2022-08-28,1,7,4,0
